1000
3 10 1 6 Cannes
217 355 3 10 Spain
949 700 8 5 France
698 108 1 11 Sisteron
815 165 15 13 Sorrento
959 827 8 4 Rome
839 952 16 18 England
604 451 11 13 Poland
720 549 8 2 Ukraine
671 121 9 9 Moldovia
344 564 5 17 Romainia
423 179 3 13 Bulgaria
645 538 1 12 Greece
268 787 7 9 Croatia
581 376 5 12 Florence
805 170 6 5 Trikala
240 408 1 8 Athens
983 494 8 1 MonteCassino
73 69 19 5 Germany
404 355 3 3 Belarius
249 211 17 15 London
735 905 10 9 Andorea
130 35 9 9 Tyrrenian
253 596 14 2 Lonian
886 649 1 17 Naples
510 553 15 12 BayOfNaples
217 253 6 4 IsleOfWright
132 566 1 12 Switzerland
212 948 12 16 Czech
732 715 11 11 RiverElbe
332 167 16 17 Amsterdam
953 614 19 19 EnglishChannel
509 737 14 5 RhineChruise
639 285 3 9 Paris
383 559 7 15 Nord
127 650 6 2 Bordeaux
654 918 14 12 CosteBrava
661 655 19 14 LesLandes
562 421 19 7 Emporia
942 14 4 9 Esperanza
494 546 14 12 Espungabera
789 583 1 8 Estherville
715 835 9 19 Etowah
939 352 11 12 Euroa
223 698 17 6 Fugu
957 72 1 12 Fukuyama
727 847 18 13 Fuji
285 493 6 13 Fulda
755 354 18 19 Fulton
410 244 8 18 Funing
885 338 2 2 Fushun
151 322 18 12 Gabela
100 269 4 19 Gafsa
85 216 17 10 Gagra
265 905 17 12 Gaibanda
83 655 16 10 Galadi
738 847 10 12 Galena
982 974 7 1 Gamboma
97 729 6 13 Gambia
379 115 10 5 Gaza
996 20 1 1 Geinhausen
542 247 4 8 Gemona
146 459 8 4 Genoa
464 8 3 9 Germiston
420 117 1 19 Gerona
19 383 11 13 Ghadamis
85 77 4 3 Holguin
266 195 1 7 Holstein
154 745 1 17 Holzminden
857 227 14 18 Homoine
870 781 5 12 Homs
589 970 11 12 Hongor
310 661 4 11 Hongsong
64 990 10 3 Honolulu
116 856 3 7 Hoorn
489 931 1 8 Hopetown
349 646 19 5 Horn
589 128 15 5 Hornepayne
470 549 12 2 Hornsea
650 861 19 18 Huangchuan
448 383 1 4 Hue
692 217 11 13 Huevla
988 946 1 3 Iriga
757 597 1 10 Irbit
885 329 1 19 Ipsala
327 827 11 7 Iowa
509 846 15 5 Intra
871 910 2 13 Ishinomaki
405 594 16 15 Itaituba
510 395 13 18 Itambacuri
29 635 14 12 Itapeci
808 375 1 11 Iton
600 809 15 18 Ivano
695 105 1 18 Ixtapa
80 162 8 13 Jaciara
507 251 10 2 Jagdalpur
283 9 4 6 Jalapa
153 759 16 6 Jama
100 615 11 19 Janakpur
412 353 1 18 Jaora
862 504 17 6 Jatai
345 653 1 1 Katsina
811 394 8 2 Kawaguchi
843 926 10 19 Kawakawa
715 753 1 19 Kaweah
293 452 10 18 Kayeli
593 986 2 10 Kayes
371 524 13 14 Kemi
569 241 6 8 Kempsey
961 66 18 12 Kenge
858 843 1 9 Kenosha
196 881 4 14 Kerava
867 354 11 3 Kerema
627 523 4 9 Kota
428 254 5 17 Kribi
518 789 8 13 Kropotkin
152 252 9 13 Kruje
259 845 1 6 Kuala
909 219 16 19 Kuhak
915 970 9 7 Kula
434 747 1 7 Kumai
888 926 3 7 Kumgang
61 329 2 12 Kumta
717 954 12 5 Kunduz
573 175 17 12 Kushva
986 399 12 4 Kwangyang
183 637 9 15 Lazo
379 952 18 14 Lenox
644 273 8 6 Leon
839 522 5 12 Leribe
477 532 2 12 Lerici
862 732 5 11 Leszno
324 55 8 1 Levice
920 42 6 5 Levski
432 617 1 6 Leyte
0 493 1 3 Lhasa
256 682 9 15 Lianping
271 79 7 18 Liao
192 585 19 18 Liard
881 741 4 5 Libenge
430 343 4 17 Licata
871 994 18 19 Lida
937 88 18 4 Liestal
219 165 19 16 Lille
558 126 13 15 Liloy
12 270 17 12 Lima
253 619 11 12 Limfjorden
731 508 1 16 Linares
447 896 14 2 Lubilash
678 382 16 9 Lucca
511 383 13 2 Ludhiana
511 446 16 5 Macclesfield
373 166 9 8 Macquarie
916 675 4 14 Madeira
240 172 5 1 Madaya
402 462 2 3 Mahalapye
460 977 11 1 Mahoba
214 239 3 13 Mecca
500 242 5 19 Malaga
378 721 6 1 Malbork
52 769 14 1 Maleuz
872 781 9 17 Medan
262 186 11 13 Mentok
913 942 13 1 Mezen
88 257 17 19 Mianwali
381 503 1 19 Moroni
778 811 16 16 Moussoro
358 280 19 1 Moyu
479 307 12 1 Mpwapwa
797 979 9 8 Muara
961 11 6 1 Mucuri
316 192 12 17 Murashi
480 810 15 9 Nicosia
115 22 3 10 Niemba
754 643 16 15 Nkawkaw
18 321 4 19 Nogales
68 559 10 1 Nola
643 568 18 5 Nopala
509 402 12 1 Nordhausen
694 362 14 12 Norfolk
316 120 18 5 Norman
380 545 3 3 Oran
364 697 1 5 Oshwe
955 946 2 4 Ouadda
767 711 2 16 Ovalle
389 753 5 3 Owase
611 522 16 9 Owyhee
161 508 9 18 Oxford
809 75 1 2 Pila
174 732 5 7 Phiafey
79 337 9 15 Pernik
800 166 11 14 Perth
52 354 8 6 Pichucalco
50 645 15 5 Piave
502 938 12 10 Pingluo
862 593 3 2 Pioche
700 969 7 1 Piratina
524 147 12 4 Pisa
899 334 8 19 Pistoia
213 896 6 3 Pithiviers
931 487 12 12 Punch
667 261 6 12 Pukchin
947 624 18 8 Pulawy
973 486 17 4 Pune
265 503 3 6 Punitaqui
490 259 3 10 Puno
356 868 9 14 Pyalma
887 958 16 17 Pyapon
945 512 6 18 Putian
317 526 16 14 Qitai
244 962 1 9 Quebec
703 962 9 17 Raba
308 785 4 2 Rabat
162 445 11 12 Rayak
513 520 11 17 Rayon
545 81 5 16 Recife
164 241 5 12 Reinosa
105 268 15 18 Rennes
223 739 8 7 Reshui
290 702 12 5 Retamito
166 327 9 18 Ribeira
663 990 4 13 Riesa
966 281 15 13 Rigby
942 898 14 11 Roseau
191 890 12 5 Rossano
169 224 11 1 Rosso
243 146 17 14 Rotorua
5 294 13 9 Rowena
708 50 1 8 Roye
145 81 9 7 Rudan
839 547 10 7 Rudnya
863 951 19 8 Rue
159 81 14 11 Ruhr
678 37 5 15 Ruma
196 784 8 8 Sandrio
149 232 17 1 Sangamon
332 280 12 6 Seyne
793 814 5 3 Semenov
789 121 11 8 Shangsi
126 686 13 6 Sharawrah
734 845 4 8 Shawano
831 254 18 4 Shebunino
504 659 10 10 Sheffield
55 917 4 5 Shellbrook
968 749 17 12 Shenendoah
822 191 8 1 Shenyang
6 212 18 8 Shiayang
578 458 3 17 Shirakawa
110 615 1 15 Shobara
860 331 1 5 Sidney
121 182 14 3 Suan
87 653 8 1 Stampriet
79 594 19 7 Stemaco
479 120 11 14 Stia
