120 120
0 4 1
0 4 7
0 4 13
0 4 19
0 4 25
0 4 31
0 4 37
0 4 43
0 4 49
0 4 55
0 4 61
0 4 67
0 4 73
0 4 79
0 4 85
0 4 91
0 4 97
0 4 103
0 4 109
0 4 115
0 10 1
0 10 7
0 10 13
0 10 19
0 10 25
0 10 31
0 10 37
0 10 43
0 10 49
0 10 55
0 10 61
0 10 67
0 10 73
0 10 79
0 10 85
0 10 91
0 10 97
0 10 103
0 10 109
0 10 115
0 16 1
0 16 7
0 16 13
0 16 19
0 16 25
0 16 31
0 16 37
0 16 43
0 16 49
0 16 55
0 16 61
0 16 67
0 16 73
0 16 79
0 16 85
0 16 91
0 16 97
0 16 103
0 16 109
0 16 115
0 22 1
0 22 7
0 22 13
0 22 19
0 22 25
0 22 31
0 22 37
0 22 43
0 22 49
0 22 55
0 22 61
0 22 67
0 22 73
0 22 79
0 22 85
0 22 91
0 22 97
0 22 103
0 22 109
0 22 115
0 28 1
0 28 7
0 28 13
0 28 19
0 28 25
0 28 31
0 28 37
0 28 43
0 28 49
0 28 55
0 28 61
0 28 67
0 28 73
0 28 79
0 28 85
0 28 91
0 28 97
0 28 103
0 28 109
0 28 115
0 34 1
0 34 7
0 34 13
0 34 19
0 34 25
0 34 31
0 34 37
0 34 43
0 34 49
0 34 55
0 34 61
0 34 67
0 34 73
0 34 79
0 34 85
0 34 91
0 34 97
0 34 103
0 34 109
0 34 115
0 40 1
0 40 7
0 40 13
0 40 19
0 40 25
0 40 31
0 40 37
0 40 43
0 40 49
0 40 55
0 40 61
0 40 67
0 40 73
0 40 79
0 40 85
0 40 91
0 40 97
0 40 103
0 40 109
0 40 115
0 46 1
0 46 7
0 46 13
0 46 19
0 46 25
0 46 31
0 46 37
0 46 43
0 46 49
0 46 55
0 46 61
0 46 67
0 46 73
0 46 79
0 46 85
0 46 91
0 46 97
0 46 103
0 46 109
0 46 115
0 52 1
0 52 7
0 52 13
0 52 19
0 52 25
0 52 31
0 52 37
0 52 43
0 52 49
0 52 55
0 52 61
0 52 67
0 52 73
0 52 79
0 52 85
0 52 91
0 52 97
0 52 103
0 52 109
0 52 115
0 58 1
0 58 7
0 58 13
0 58 19
0 58 25
0 58 31
0 58 37
0 58 43
0 58 49
0 58 55
0 58 61
0 58 67
0 58 73
0 58 79
0 58 85
0 58 91
0 58 97
0 58 103
0 58 109
0 58 115
0 64 1
0 64 7
0 64 13
0 64 19
0 64 25
0 64 31
0 64 37
0 64 43
0 64 49
0 64 55
0 64 61
0 64 67
0 64 73
0 64 79
0 64 85
0 64 91
0 64 97
0 64 103
0 64 109
0 64 115
0 70 1
0 70 7
0 70 13
0 70 19
0 70 25
0 70 31
0 70 37
0 70 43
0 70 49
0 70 55
0 70 61
0 70 67
0 70 73
0 70 79
0 70 85
0 70 91
0 70 97
0 70 103
0 70 109
0 70 115
0 76 1
0 76 7
0 76 13
0 76 19
0 76 25
0 76 31
0 76 37
0 76 43
0 76 49
0 76 55
0 76 61
0 76 67
0 76 73
0 76 79
0 76 85
0 76 91
0 76 97
0 76 103
0 76 109
0 76 115
0 82 1
0 82 7
0 82 13
0 82 19
0 82 25
0 82 31
0 82 37
0 82 43
0 82 49
0 82 55
0 82 61
0 82 67
0 82 73
0 82 79
0 82 85
0 82 91
0 82 97
0 82 103
0 82 109
0 82 115
0 88 1
0 88 7
0 88 13
0 88 19
0 88 25
0 88 31
0 88 37
0 88 43
0 88 49
0 88 55
0 88 61
0 88 67
0 88 73
0 88 79
0 88 85
0 88 91
0 88 97
0 88 103
0 88 109
0 88 115
0 94 1
0 94 7
0 94 13
0 94 19
0 94 25
0 94 31
0 94 37
0 94 43
0 94 49
0 94 55
0 94 61
0 94 67
0 94 73
0 94 79
0 94 85
0 94 91
0 94 97
0 94 103
0 94 109
0 94 115
0 100 1
0 100 7
0 100 13
0 100 19
0 100 25
0 100 31
0 100 37
0 100 43
0 100 49
0 100 55
0 100 61
0 100 67
0 100 73
0 100 79
0 100 85
0 100 91
0 100 97
0 100 103
0 100 109
0 100 115
0 106 1
0 106 7
0 106 13
0 106 19
0 106 25
0 106 31
0 106 37
0 106 43
0 106 49
0 106 55
0 106 61
0 106 67
0 106 73
0 106 79
0 106 85
0 106 91
0 106 97
0 106 103
0 106 109
0 106 115
0 112 1
0 112 7
0 112 13
0 112 19
0 112 25
0 112 31
0 112 37
0 112 43
0 112 49
0 112 55
0 112 61
0 112 67
0 112 73
0 112 79
0 112 85
0 112 91
0 112 97
0 112 103
0 112 109
0 112 115
0 118 1
0 118 7
0 118 13
0 118 19
0 118 25
0 118 31
0 118 37
0 118 43
0 118 49
0 118 55
0 118 61
0 118 67
0 118 73
0 118 79
0 118 85
0 118 91
0 118 97
0 118 103
0 118 109
0 118 115
1 3 0
2 1 0
1 3 6
2 1 6
1 3 12
2 1 12
1 3 18
2 1 18
1 3 24
2 1 24
1 3 30
2 1 30
1 3 36
2 1 36
1 3 42
2 1 42
1 3 48
2 1 48
1 3 54
2 1 54
1 3 60
2 1 60
1 3 66
2 1 66
1 3 72
2 1 72
1 3 78
2 1 78
1 3 84
2 1 84
1 3 90
2 1 90
1 3 96
2 1 96
1 3 102
2 1 102
1 3 108
2 1 108
1 3 114
2 1 114
1 9 0
2 7 0
1 9 6
2 7 6
1 9 12
2 7 12
1 9 18
2 7 18
1 9 24
2 7 24
1 9 30
2 7 30
1 9 36
2 7 36
1 9 42
2 7 42
1 9 48
2 7 48
1 9 54
2 7 54
1 9 60
2 7 60
1 9 66
2 7 66
1 9 72
2 7 72
1 9 78
2 7 78
1 9 84
2 7 84
1 9 90
2 7 90
1 9 96
2 7 96
1 9 102
2 7 102
1 9 108
2 7 108
1 9 114
2 7 114
1 15 0
2 13 0
1 15 6
2 13 6
1 15 12
2 13 12
1 15 18
2 13 18
1 15 24
2 13 24
1 15 30
2 13 30
1 15 36
2 13 36
1 15 42
2 13 42
1 15 48
2 13 48
1 15 54
2 13 54
1 15 60
2 13 60
1 15 66
2 13 66
1 15 72
2 13 72
1 15 78
2 13 78
1 15 84
2 13 84
1 15 90
2 13 90
1 15 96
2 13 96
1 15 102
2 13 102
1 15 108
2 13 108
1 15 114
2 13 114
1 21 0
2 19 0
1 21 6
2 19 6
1 21 12
2 19 12
1 21 18
2 19 18
1 21 24
2 19 24
1 21 30
2 19 30
1 21 36
2 19 36
1 21 42
2 19 42
1 21 48
2 19 48
1 21 54
2 19 54
1 21 60
2 19 60
1 21 66
2 19 66
1 21 72
2 19 72
1 21 78
2 19 78
1 21 84
2 19 84
1 21 90
2 19 90
1 21 96
2 19 96
1 21 102
2 19 102
1 21 108
2 19 108
1 21 114
2 19 114
1 27 0
2 25 0
1 27 6
2 25 6
1 27 12
2 25 12
1 27 18
2 25 18
1 27 24
2 25 24
1 27 30
2 25 30
1 27 36
2 25 36
1 27 42
2 25 42
1 27 48
2 25 48
1 27 54
2 25 54
1 27 60
2 25 60
1 27 66
2 25 66
1 27 72
2 25 72
1 27 78
2 25 78
1 27 84
2 25 84
1 27 90
2 25 90
1 27 96
2 25 96
1 27 102
2 25 102
1 27 108
2 25 108
1 27 114
2 25 114
1 33 0
2 31 0
1 33 6
2 31 6
1 33 12
2 31 12
1 33 18
2 31 18
1 33 24
2 31 24
1 33 30
2 31 30
1 33 36
2 31 36
1 33 42
2 31 42
1 33 48
2 31 48
1 33 54
2 31 54
1 33 60
2 31 60
1 33 66
2 31 66
1 33 72
2 31 72
1 33 78
2 31 78
1 33 84
2 31 84
1 33 90
2 31 90
1 33 96
2 31 96
1 33 102
2 31 102
1 33 108
2 31 108
1 33 114
2 31 114
1 39 0
2 37 0
1 39 6
2 37 6
1 39 12
2 37 12
1 39 18
2 37 18
1 39 24
2 37 24
1 39 30
2 37 30
1 39 36
2 37 36
1 39 42
2 37 42
1 39 48
2 37 48
1 39 54
2 37 54
1 39 60
2 37 60
1 39 66
2 37 66
1 39 72
2 37 72
1 39 78
2 37 78
1 39 84
2 37 84
1 39 90
2 37 90
1 39 96
2 37 96
1 39 102
2 37 102
1 39 108
2 37 108
1 39 114
2 37 114
1 45 0
2 43 0
1 45 6
2 43 6
1 45 12
2 43 12
1 45 18
2 43 18
1 45 24
2 43 24
1 45 30
2 43 30
1 45 36
2 43 36
1 45 42
2 43 42
1 45 48
2 43 48
1 45 54
2 43 54
1 45 60
2 43 60
1 45 66
2 43 66
1 45 72
2 43 72
1 45 78
2 43 78
1 45 84
2 43 84
1 45 90
2 43 90
1 45 96
2 43 96
1 45 102
2 43 102
1 45 108
2 43 108
1 45 114
2 43 114
1 51 0
2 49 0
1 51 6
2 49 6
1 51 12
2 49 12
1 51 18
2 49 18
1 51 24
2 49 24
1 51 30
2 49 30
1 51 36
2 49 36
1 51 42
2 49 42
1 51 48
2 49 48
1 51 54
2 49 54
1 51 60
2 49 60
1 51 66
2 49 66
1 51 72
2 49 72
1 51 78
2 49 78
1 51 84
2 49 84
1 51 90
2 49 90
1 51 96
2 49 96
1 51 102
2 49 102
1 51 108
2 49 108
1 51 114
2 49 114
1 57 0
2 55 0
1 57 6
